Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
32,Male,1,Operations Manager,6,90000,China,White,0
28,Female,2,Human Resources Coordinator,2,45000,China,Korean,0
40,Male,3,Data Scientist,15,150000,USA,African American,0
33,Female,1,Human Resources Manager,8,95000,Canada,White,0
24,Male,0,Sales Associate,1,25000,USA,Asian,0
35,Female,2,Marketing Manager,10,110000,USA,Hispanic,0
29,Male,1,Software Engineer,4,70000,USA,Asian,0
49,Male,3,Data Scientist,22,220000,USA,Hispanic,0
26,Female,1,Software Developer,2,35000,Canada,Asian,0
41,Female,2,Human Resources Manager,13,140000,USA,White,0
36,Male,1,Operations Manager,9,110000,UK,Mixed,0
28,Female,0,Sales Associate,1,25000,Canada,Asian,0
43,Male,3,Data Scientist,16,160000,China,White,0
29,Male,1,Software Developer,5,80000,Australia,Asian,0
39,Female,2,Marketing Coordinator,11,120000,China,Korean,0
32,Male,1,Operations Manager,6,90000,China,White,0
28,Female,2,Human Resources Coordinator,2,45000,Australia,White,0
40,Male,3,Data Scientist,15,150000,USA,Hispanic,0
33,Female,1,Human Resources Manager,8,95000,UK,Asian,0
24,Male,0,Sales Associate,1,25000,Canada,White,0
35,Female,2,Marketing Manager,10,110000,USA,African American,0
29,Male,1,Software Engineer,4,70000,Australia,Asian,0
49,Male,3,Data Scientist,22,220000,Australia,Asian,0
26,Female,1,Software Developer,2,35000,Australia,Australian,0
41,Female,2,Human Resources Manager,13,140000,UK,Mixed,0
36,Male,1,Operations Manager,9,110000,China,Korean,0
28,Female,0,Sales Associate,1,25000,Canada,Black,0
43,Male,3,Data Scientist,16,160000,China,Korean,0
29,Male,1,Software Developer,5,80000,China,White,0
39,Female,2,Marketing Coordinator,11,120000,Canada,Asian,0
32,Male,1,Operations Manager,6,90000,China,White,0
28,Female,2,Human Resources Coordinator,2,45000,USA,White,0
40,Male,3,Data Scientist,15,150000,Canada,Asian,0
33,Female,1,Human Resources Manager,8,95000,China,Korean,0
24,Male,0,Sales Associate,1,25000,Australia,White,0
35,Female,2,Marketing Manager,10,110000,Australia,Asian,0
29,Male,1,Software Engineer,4,70000,Canada,Black,0
49,Male,3,Data Scientist,22,220000,China,White,0
26,Female,1,Software Developer,2,35000,Australia,White,0
41,Female,2,Human Resources Manager,13,140000,UK,Welsh,0
36,Male,1,Operations Manager,9,110000,UK,Welsh,0
28,Female,0,Sales Associate,1,25000,Canada,White,0
43,Male,3,Data Scientist,16,160000,Australia,Asian,0
29,Male,1,Software Developer,5,80000,USA,Hispanic,0
34,Male,1,Software Engineer,6,85000,Canada,White,0
31,Female,2,Marketing Manager,4,62000,China,Korean,0
41,Male,3,Data Scientist,13,138000,China,Korean,0
27,Female,1,Human Resources Coordinator,2,47000,China,Korean,0
25,Male,0,Sales Associate,1,26000,Australia,Australian,0
33,Female,2,Software Developer,8,95000,UK,Asian,0
45,Male,1,Operations Manager,19,174000,Canada,Asian,0
28,Female,1,Marketing Coordinator,2,41000,China,Chinese,0
42,Male,3,Data Scientist,16,162000,Australia,White,0
34,Female,1,Human Resources Manager,9,99000,Canada,Black,0
23,Male,0,Sales Associate,1,26000,Canada,White,0
36,Female,2,Marketing Manager,11,117000,UK,White,0
30,Male,1,Software Engineer,5,75000,Australia,Australian,0
50,Male,3,Data Scientist,23,225000,UK,Asian,0
27,Female,1,Software Developer,2,36000,UK,Asian,0
43,Female,2,Human Resources Manager,14,146000,USA,White,0
37,Male,1,Operations Manager,10,113000,Australia,Asian,0
29,Female,0,Sales Associate,1,26000,Canada,Asian,0
44,Male,3,Data Scientist,17,168000,USA,Asian,0
30,Male,1,Software Developer,6,85000,USA,Asian,0
40,Female,2,Marketing Coordinator,12,122000,Australia,Australian,0
33,Male,1,Operations Manager,7,96000,Australia,Australian,0
29,Female,2,Human Resources Coordinator,3,49000,Australia,Asian,0
43,Male,3,Data Scientist,16,162000,China,Chinese,0
34,Female,1,Human Resources Manager,9,99000,UK,Welsh,0
23,Male,0,Sales Associate,1,26000,Australia,Asian,0
36,Female,2,Marketing Manager,11,117000,USA,Asian,0
30,Male,1,Software Engineer,5,75000,USA,African American,0
50,Male,3,Data Scientist,23,225000,USA,Hispanic,0
27,Female,1,Software Developer,2,36000,USA,Asian,0
43,Female,2,Human Resources Manager,14,146000,Australia,Australian,0
37,Male,1,Operations Manager,10,113000,UK,Asian,0
29,Female,0,Sales Associate,1,26000,Australia,White,0
44,Male,3,Data Scientist,17,168000,Canada,Black,0
30,Male,1,Software Developer,6,85000,USA,African American,0
40,Female,2,Marketing Coordinator,12,122000,Australia,Asian,0
33,Male,1,Operations Manager,7,96000,USA,Hispanic,0
29,Female,2,Human Resources Coordinator,3,49000,Canada,Black,0
43,Male,3,Data Scientist,16,162000,Canada,Black,0
34,Female,1,Human Resources Manager,9,99000,UK,Mixed,0
23,Male,0,Sales Associate,1,26000,Canada,White,0
36,Female,2,Marketing Manager,11,117000,USA,Hispanic,0
30,Male,1,Software Engineer,5,75000,Australia,Asian,0
50,Male,3,Data Scientist,23,225000,Australia,Australian,0
27,Female,1,Software Developer,2,36000,UK,Mixed,0
43,Female,2,Human Resources Manager,14,146000,UK,White,0
37,Male,1,Operations Manager,10,113000,USA,White,0
29,Female,0,Sales Associate,1,26000,UK,Welsh,0
44,Male,3,Data Scientist,17,168000,USA,White,0
30,Male,1,Software Developer,6,85000,Australia,Asian,0
40,Female,2,Marketing Coordinator,12,122000,UK,Welsh,0
33,Male,1,Operations Manager,7,96000,Australia,Asian,0
29,Female,2,Human Resources Coordinator,3,49000,China,Korean,0
43,Male,3,Data Scientist,16,162000,Australia,Australian,0
34,Female,1,Human Resources Manager,9,99000,Australia,Asian,0
23,Male,0,Sales Associate,1,26000,USA,Hispanic,0
36,Female,2,Marketing Manager,11,117000,Australia,Asian,0
30,Male,1,Software Engineer,5,75000,USA,White,0
50,Male,3,Data Scientist,23,225000,Australia,Australian,0
27,Female,1,Software Developer,2,36000,Australia,Asian,0
43,Female,2,Human Resources Manager,14,146000,Australia,White,0
37,Male,1,Operations Manager,10,113000,Australia,Asian,0
29,Female,0,Sales Associate,1,26000,China,Chinese,0
44,Male,3,Data Scientist,17,168000,UK,Asian,0
30,Male,1,Software Developer,6,85000,USA,White,0
40,Female,2,Marketing Coordinator,12,122000,UK,Asian,0
33,Male,1,Operations Manager,7,96000,UK,Asian,0
29,Female,2,Human Resources Coordinator,3,49000,China,Chinese,0
43,Male,3,Data Scientist,16,162000,Canada,Asian,0
34,Female,1,Human Resources Manager,9,99000,China,White,0
23,Male,0,Sales Associate,1,26000,UK,Welsh,0
36,Female,2,Marketing Manager,11,117000,Canada,Asian,0
30,Male,1,Software Engineer,5,75000,China,White,0
50,Male,3,Data Scientist,23,225000,Australia,White,0
27,Female,1,Software Developer,2,36000,Australia,Australian,0
43,Female,2,Human Resources Manager,14,146000,USA,African American,0
37,Male,1,Operations Manager,10,113000,China,White,0
29,Female,0,Sales Associate,1,26000,Canada,White,0
44,Male,3,Data Scientist,17,168000,Canada,Black,0
30,Male,1,Software Developer,6,85000,UK,White,0
40,Female,2,Marketing Coordinator,12,122000,UK,Mixed,0
33,Male,1,Operations Manager,7,96000,China,Chinese,0
29,Female,2,Human Resources Coordinator,3,49000,Canada,Asian,0
43,Male,3,Data Scientist,16,162000,China,White,0
34,Female,1,Human Resources Manager,9,99000,UK,Asian,0
23,Male,0,Sales Associate,1,26000,USA,Hispanic,0
36,Female,2,Marketing Manager,11,117000,Canada,Asian,0
30,Male,1,Software Engineer,5,75000,Canada,Black,0
50,Male,3,Data Scientist,23,225000,UK,White,0
27,Female,1,Software Developer,2,36000,Australia,White,0
43,Female,2,Human Resources Manager,14,146000,Canada,White,0
37,Male,1,Operations Manager,10,113000,Canada,Black,0
29,Female,0,Sales Associate,1,26000,UK,Welsh,0
44,Male,3,Data Scientist,17,168000,Canada,White,0
30,Male,1,Software Developer,6,85000,UK,White,0
40,Female,2,Marketing Coordinator,12,122000,Canada,Black,0
33,Male,1,Operations Manager,7,96000,China,White,0
29,Female,2,Human Resources Coordinator,3,49000,USA,Hispanic,0
43,Male,3,Data Scientist,16,162000,USA,Asian,0
34,Female,1,Human Resources Manager,9,99000,China,Chinese,0
23,Male,0,Sales Associate,1,26000,Canada,White,0
36,Female,2,Marketing Manager,11,117000,USA,African American,0
30,Male,1,Software Engineer,5,75000,UK,Asian,0
50,Male,3,Data Scientist,23,225000,Australia,White,0
27,Female,1,Software Developer,2,36000,UK,Mixed,0
43,Female,2,Human Resources Manager,14,146000,UK,White,0
37,Male,1,Operations Manager,10,113000,Canada,Black,0
29,Female,0,Sales Associate,1,26000,Canada,Asian,0
44,Male,3,Data Scientist,17,168000,USA,Hispanic,0
30,Male,1,Software Developer,6,85000,Canada,White,0
40,Female,2,Marketing Coordinator,12,122000,Australia,Australian,0
33,Male,1,Operations Manager,7,96000,China,Chinese,0
29,Female,2,Human Resources Coordinator,3,49000,Australia,Asian,0
43,Male,3,Data Scientist,16,162000,USA,African American,0
34,Female,1,Human Resources Manager,9,99000,USA,White,0
23,Male,0,Sales Associate,1,26000,USA,Hispanic,0
36,Female,2,Marketing Manager,11,117000,USA,White,0
30,Male,1,Software Engineer,5,75000,UK,Mixed,0
50,Male,3,Data Scientist,23,225000,UK,Welsh,0
27,Female,1,Software Developer,2,36000,Australia,Asian,0
43,Female,2,Human Resources Manager,14,146000,USA,African American,0
37,Male,1,Operations Manager,10,113000,China,White,0
29,Female,0,Sales Associate,1,26000,USA,White,0
44,Male,3,Data Scientist,17,168000,UK,Mixed,0
30,Male,1,Software Developer,6,85000,Australia,Australian,0
32,Female,2,Software Developer,8,95000,USA,White,0
46,Male,3,Data Scientist,18,180000,UK,Asian,0
28,Female,1,Marketing Coordinator,2,41000,UK,Welsh,0
24,Male,0,Sales Associate,1,26000,USA,White,0
31,Female,2,Marketing Manager,5,68000,UK,Asian,0
39,Male,1,Operations Manager,13,127000,UK,Asian,0
25,Female,1,Human Resources Coordinator,2,47000,Canada,White,0
41,Male,3,Data Scientist,15,155000,Canada,Asian,0
35,Female,1,Human Resources Manager,8,92000,China,Korean,0
26,Male,0,Sales Associate,1,26000,Australia,White,0
37,Female,2,Marketing Manager,12,125000,Australia,Australian,0
29,Male,1,Software Engineer,4,71000,UK,Mixed,0
51,Male,3,Data Scientist,24,240000,Canada,Black,0
28,Female,1,Software Developer,2,36000,Canada,White,0
44,Female,2,Human Resources Manager,15,152000,China,Chinese,0
38,Male,1,Operations Manager,11,119000,Australia,Asian,0
30,Female,0,Sales Associate,1,26000,USA,African American,0
45,Male,3,Data Scientist,19,190000,Australia,Asian,0
31,Male,1,Software Developer,6,85000,USA,Hispanic,0
41,Female,2,Marketing Coordinator,13,131000,UK,White,0
34,Male,1,Operations Manager,8,101000,USA,White,0
30,Female,2,Human Resources Coordinator,3,49000,UK,Asian,0
44,Male,3,Data Scientist,18,182000,USA,Asian,0
35,Female,1,Human Resources Manager,8,92000,China,Chinese,0
26,Male,0,Sales Associate,1,26000,China,White,0
37,Female,2,Marketing Manager,12,125000,China,Korean,0
29,Male,1,Software Engineer,4,71000,Canada,Black,0
51,Male,3,Data Scientist,24,240000,UK,Welsh,0
28,Female,1,Software Developer,2,36000,USA,Asian,0
44,Female,2,Human Resources Manager,15,152000,Australia,White,0
38,Male,1,Operations Manager,11,119000,USA,Hispanic,0
30,Female,0,Sales Associate,1,26000,China,Chinese,0
45,Male,3,Data Scientist,19,190000,Canada,Asian,0
31,Male,1,Software Developer,6,85000,UK,White,0
41,Female,2,Marketing Coordinator,13,131000,USA,Asian,0
34,Male,1,Operations Manager,8,101000,USA,African American,0
30,Female,2,Human Resources Coordinator,3,49000,UK,Welsh,0
44,Male,3,Data Scientist,18,182000,USA,African American,0
35,Female,1,Human Resources Manager,8,92000,Canada,White,0
26,Male,0,Sales Associate,1,26000,Canada,Asian,0
37,Female,2,Marketing Manager,12,125000,Canada,White,0
29,Male,1,Software Engineer,4,71000,Australia,White,0
51,Male,3,Data Scientist,24,240000,China,Korean,0
28,Female,1,Software Developer,2,36000,USA,African American,0
44,Female,2,Human Resources Manager,15,152000,Australia,White,0
38,Male,1,Operations Manager,11,119000,USA,African American,0
30,Female,0,Sales Associate,1,26000,Australia,Asian,0
45,Male,3,Data Scientist,19,190000,China,Korean,0
31,Male,1,Software Developer,6,85000,China,Chinese,0
41,Female,2,Marketing Coordinator,13,131000,China,White,0
34,Male,1,Operations Manager,8,101000,China,Korean,0
30,Female,2,Human Resources Coordinator,3,49000,UK,White,0
44,Male,3,Data Scientist,18,182000,Australia,White,0
35,Female,1,Human Resources Manager,8,92000,USA,Asian,0
26,Male,0,Sales Associate,1,26000,USA,White,0
37,Female,2,Marketing Manager,12,125000,UK,Mixed,0
29,Male,1,Software Engineer,4,71000,Canada,Asian,0
51,Male,3,Data Scientist,24,240000,China,Chinese,0
28,Female,1,Software Developer,2,36000,UK,Asian,0
44,Female,2,Human Resources Manager,15,152000,UK,Mixed,0
38,Male,1,Operations Manager,11,119000,USA,African American,0
30,Female,0,Sales Associate,1,26000,UK,Mixed,0
45,Male,3,Data Scientist,19,190000,UK,Mixed,0
31,Male,1,Software Developer,6,85000,UK,Asian,0
41,Female,2,Marketing Coordinator,13,131000,UK,Welsh,0
34,Male,1,Operations Manager,8,101000,USA,African American,0
30,Female,2,Human Resources Coordinator,3,49000,Canada,White,0
44,Male,3,Data Scientist,18,182000,UK,Welsh,0
35,Female,1,Human Resources Manager,8,92000,UK,Mixed,0
26,Male,0,Sales Associate,1,26000,Australia,White,0
37,Female,2,Marketing Manager,12,125000,UK,White,0
29,Male,1,Software Engineer,4,71000,USA,White,0
51,Male,3,Data Scientist,24,240000,USA,White,0
28,Female,1,Software Developer,2,36000,China,Chinese,0
44,Female,2,Human Resources Manager,15,152000,UK,White,0
38,Male,1,Operations Manager,11,119000,USA,Hispanic,0
30,Female,0,Sales Associate,1,26000,China,Chinese,0
45,Male,3,Data Scientist,19,190000,USA,Hispanic,0
31,Male,1,Software Developer,6,85000,China,Chinese,0
41,Female,2,Marketing Coordinator,13,131000,Canada,Black,0
34,Male,1,Operations Manager,8,101000,Australia,White,0
30,Female,2,Human Resources Coordinator,3,49000,Australia,Asian,0
44,Male,3,Data Scientist,18,182000,Australia,Australian,0
35,Female,1,Human Resources Manager,8,92000,Canada,Asian,0
26,Male,0,Sales Associate,1,26000,Australia,White,0
37,Female,2,Marketing Manager,12,125000,China,Korean,0
29,Male,1,Software Engineer,4,71000,Australia,Asian,0
51,Male,3,Data Scientist,24,240000,Canada,Black,0
28,Female,1,Software Developer,2,36000,Australia,Asian,0
44,Female,2,Human Resources Manager,15,152000,Australia,White,0
38,Male,1,Operations Manager,11,119000,Canada,Asian,0
30,Female,0,Sales Associate,1,26000,UK,Mixed,0
45,Male,3,Data Scientist,19,190000,Australia,Asian,0
31,Male,1,Software Developer,6,85000,Canada,Black,0
41,Female,2,Marketing Coordinator,13,131000,Australia,Asian,0
34,Male,1,Operations Manager,8,101000,USA,African American,0
30,Female,2,Human Resources Coordinator,3,49000,USA,Hispanic,0
44,Male,3,Data Scientist,18,182000,China,Chinese,0
35,Female,1,Human Resources Manager,8,92000,Australia,White,0
26,Male,0,Sales Associate,1,26000,Canada,Black,0
37,Female,2,Marketing Manager,12,125000,China,White,0
29,Male,1,Software Engineer,4,71000,USA,Asian,0
51,Male,3,Data Scientist,24,240000,Canada,White,0
28,Female,1,Software Developer,2,36000,Canada,White,0
44,Female,2,Human Resources Manager,15,152000,China,Korean,0
38,Male,1,Operations Manager,11,119000,China,Chinese,0
30,Female,0,Sales Associate,1,26000,China,White,0
45,Male,3,Data Scientist,19,190000,USA,Hispanic,0
31,Male,1,Software Developer,6,85000,Australia,Asian,0
41,Female,2,Marketing Coordinator,13,131000,UK,Welsh,0
34,Male,1,Operations Manager,8,101000,Canada,Black,0
30,Female,2,Human Resources Coordinator,3,49000,UK,Mixed,0
44,Male,3,Data Scientist,18,182000,Canada,Black,0
35,Female,1,Human Resources Manager,8,92000,Australia,Australian,0
26,Male,0,Sales Associate,1,26000,UK,White,0
37,Female,2,Marketing Manager,12,125000,China,White,0
29,Male,1,Software Engineer,4,71000,Canada,Asian,0
51,Male,3,Data Scientist,24,240000,Canada,Asian,0
28,Female,1,Software Developer,2,36000,Canada,White,0
44,Female,2,Human Resources Manager,15,152000,UK,Welsh,0
38,Male,1,Operations Manager,11,119000,Australia,Asian,0
30,Female,0,Sales Associate,1,26000,China,Chinese,0
45,Male,3,Data Scientist,19,190000,Australia,White,0
31,Male,1,Software Developer,6,85000,UK,Welsh,0
41,Female,2,Marketing Coordinator,13,131000,China,Korean,0
27,Male,1,Software Developer,3,62000,Canada,White,0
42,Female,2,Marketing Manager,16,137000,USA,Asian,0
35,Male,3,Data Scientist,9,112000,UK,Welsh,0
29,Female,1,Human Resources Coordinator,2,45000,USA,White,0
33,Male,0,Sales Associate,1,25000,USA,Hispanic,0
36,Female,1,Operations Manager,7,91000,USA,White,0
43,Male,3,Data Scientist,17,179000,UK,Asian,0
31,Female,1,Software Engineer,5,74000,Canada,White,0
49,Male,2,Marketing Manager,23,228000,Canada,White,0
28,Female,1,Software Developer,2,37000,Australia,Asian,0
45,Female,3,Data Scientist,19,193000,UK,Asian,0
38,Male,1,Operations Manager,11,119000,Canada,Black,0
30,Female,0,Sales Associate,1,25000,Canada,Black,0
45,Male,2,Marketing Manager,20,204000,Australia,White,0
27,Female,1,Software Developer,3,61000,UK,Mixed,0
41,Male,3,Data Scientist,15,157000,Canada,Asian,0
35,Female,2,Human Resources Manager,8,92000,Australia,Australian,0
26,Male,1,Software Engineer,1,52000,USA,White,0
30,Female,1,Marketing Coordinator,4,58000,USA,African American,0
48,Male,3,Data Scientist,22,219000,Canada,Asian,0
32,Female,2,Marketing Manager,6,77000,Canada,Black,0
34,Male,1,Operations Manager,8,104000,Australia,White,0
31,Female,0,Sales Associate,1,25000,Canada,Asian,0
45,Male,2,Marketing Manager,20,204000,UK,White,0
28,Female,1,Software Developer,2,37000,USA,African American,0
44,Female,3,Data Scientist,18,183000,Canada,Asian,0
38,Male,1,Operations Manager,11,119000,Australia,Australian,0
30,Female,0,Sales Associate,1,25000,UK,Mixed,0
45,Male,2,Marketing Manager,20,204000,UK,Mixed,0
27,Female,1,Software Developer,3,61000,China,Korean,0
41,Male,3,Data Scientist,15,157000,Australia,Australian,0
35,Female,2,Human Resources Manager,8,92000,USA,White,0
26,Male,1,Software Engineer,1,52000,Australia,Asian,0
30,Female,1,Marketing Coordinator,4,58000,Canada,Black,0
48,Male,3,Data Scientist,22,219000,UK,Mixed,0
32,Female,2,Marketing Manager,6,77000,Australia,White,0
34,Male,1,Operations Manager,8,104000,USA,White,0
31,Female,0,Sales Associate,1,25000,UK,White,0
45,Male,2,Marketing Manager,20,204000,USA,White,0
28,Female,1,Software Developer,2,37000,Canada,White,0
44,Female,3,Data Scientist,18,183000,Australia,White,0
38,Male,1,Operations Manager,11,119000,UK,Welsh,0
30,Female,0,Sales Associate,1,25000,Canada,Asian,0
45,Male,2,Marketing Manager,20,204000,China,Korean,0
27,Female,1,Software Developer,3,61000,USA,Asian,0
41,Male,3,Data Scientist,15,157000,Canada,White,0
35,Female,2,Human Resources Manager,8,92000,China,Korean,0
26,Male,1,Software Engineer,1,52000,China,Korean,0
30,Female,1,Marketing Coordinator,4,58000,USA,Hispanic,0
48,Male,3,Data Scientist,22,219000,Australia,Australian,0
32,Female,2,Marketing Manager,6,77000,UK,White,0
34,Male,1,Operations Manager,8,104000,Canada,White,0
31,Female,0,Sales Associate,1,25000,Canada,White,0
45,Male,2,Marketing Manager,20,204000,China,Korean,0
28,Female,1,Software Developer,2,37000,Canada,Black,0
44,Female,3,Data Scientist,18,183000,China,Chinese,0
38,Male,1,Operations Manager,11,119000,China,Chinese,0
30,Female,0,Sales Associate,1,25000,Canada,Asian,0
45,Male,2,Marketing Manager,20,204000,Canada,White,0
27,Female,1,Software Developer,3,61000,Australia,White,0
41,Male,3,Data Scientist,15,157000,UK,Welsh,0
35,Female,2,Human Resources Manager,8,92000,China,Chinese,0
26,Male,1,Software Engineer,1,52000,China,Chinese,0
30,Female,1,Marketing Coordinator,4,58000,USA,African American,0
48,Male,3,Data Scientist,22,219000,UK,Mixed,0
32,Female,2,Marketing Manager,6,77000,Canada,White,0
34,Male,1,Operations Manager,8,104000,Canada,Asian,0
31,Female,0,Sales Associate,1,25000,Australia,White,0
45,Male,2,Marketing Manager,20,204000,China,Chinese,0
28,Female,1,Software Developer,2,37000,China,White,0
44,Female,3,Data Scientist,18,183000,UK,Mixed,0
38,Male,1,Operations Manager,11,119000,USA,African American,0
30,Female,0,Sales Associate,1,25000,UK,Mixed,0
45,Male,2,Marketing Manager,20,204000,Australia,Australian,0
27,Female,1,Software Developer,3,61000,China,Korean,0
41,Male,3,Data Scientist,15,157000,Canada,Asian,0
35,Female,2,Human Resources Manager,8,92000,USA,Hispanic,0
26,Male,1,Software Engineer,1,52000,Canada,Black,0
30,Female,1,Marketing Coordinator,4,58000,China,Korean,0
48,Male,3,Data Scientist,22,219000,UK,Mixed,0
32,Female,2,Marketing Manager,6,77000,Australia,Australian,0
34,Male,1,Operations Manager,8,104000,USA,Hispanic,0
31,Female,0,Sales Associate,1,25000,UK,White,0
45,Male,2,Marketing Manager,20,204000,UK,Asian,0
28,Female,1,Software Developer,2,37000,Australia,Australian,0
44,Female,3,Data Scientist,18,183000,Australia,Asian,0
38,Male,1,Operations Manager,11,119000,Canada,Asian,0
30,Female,0,Sales Associate,1,25000,China,White,0
45,Male,2,Marketing Manager,20,204000,Canada,Asian,0
27,Female,1,Software Developer,3,61000,USA,African American,0
41,Male,3,Data Scientist,15,157000,China,Chinese,0
35,Female,2,Human Resources Manager,8,92000,USA,White,0
26,Male,1,Software Engineer,1,52000,Australia,Australian,0
30,Female,1,Marketing Coordinator,4,58000,Australia,White,0
48,Male,3,Data Scientist,22,219000,UK,Asian,0
32,Female,2,Marketing Manager,6,77000,USA,Asian,0
34,Male,1,Operations Manager,8,104000,China,Korean,0
31,Female,0,Sales Associate,1,25000,Canada,Asian,0
45,Male,2,Marketing Manager,20,204000,USA,African American,0
28,Female,1,Software Developer,2,37000,UK,White,0
44,Female,3,Data Scientist,18,183000,Canada,White,0
38,Male,1,Operations Manager,11,119000,China,White,0
30,Female,0,Sales Associate,1,25000,UK,White,0
45,Male,2,Marketing Manager,20,204000,Canada,Asian,0
27,Female,1,Software Developer,3,61000,Australia,Asian,0
41,Male,3,Data Scientist,15,157000,Canada,White,0
35,Female,2,Human Resources Manager,8,92000,UK,Asian,0
26,Male,1,Software Engineer,1,52000,China,Chinese,0
30,Female,1,Marketing Coordinator,4,58000,UK,Mixed,0
48,Male,3,Data Scientist,22,219000,Australia,White,0
32,Female,2,Marketing Manager,6,77000,UK,White,0
34,Male,1,Operations Manager,8,104000,Canada,Asian,0
31,Female,0,Sales Associate,1,25000,Canada,Asian,0
45,Male,2,Marketing Manager,20,204000,USA,White,0
28,Female,1,Software Developer,2,37000,Australia,Asian,0
44,Female,3,Data Scientist,18,183000,Canada,White,0
38,Male,1,Operations Manager,11,119000,USA,Hispanic,0
